"","Delta","Theta","Alpha","Beta","LowGamma","HighGamma"
"AA1",0.0446068899972098,1.20159421648298,1.11048807416643,6.40911974225725,3.3248770577567,0.262353692735944
"AE1",0.583796480868725,1.75686450714761,1.40758757895612,4.54183602840342,2.65994500606618,-0.00109473695146277
"AH0",0.738431558668988,1.35537879871872,1.17868018000381,4.49934485573439,2.17761134501523,0.138761682330437
"AO1",0.504637363978795,0.685431562151228,0.848243604387556,5.12444741385324,2.55789620535714,0.135608427865165
"AW1",0.328947137903284,2.85072157118056,0.588610613787616,2.26673719618056,2.02962917751736,-0.0774824354383681
"AY1",0.696073849995931,1.65185843573676,1.31937874688043,9.34256850348579,3.73240449693468,0.39977412753635
"B",0.24405359338831,0.802799224853516,0.67170093677662,8.53567956995081,3.61854214138455,0.194741849546079
"CH",0.839104788643973,0.600529080345517,0.794329688662574,4.59774562290737,2.62363542829241,-0.0154713221958705
"D",0.46737003326416,1.41174232959747,0.875365756452084,3.35702253878117,1.88514383509755,0.146349407732487
"EH1",0.766528600933908,1.30796559651693,0.662002037311422,3.67026037457346,2.32725264560217,0.0656063035986889
"ER0",0.499947981400923,0.91853852705522,0.684885025024414,2.68682306463068,1.13851581920277,0.0352748524058949
"ER1",1.03687464396159,2.66480712890625,1.16447957356771,3.06017252604167,0.972810872395833,0.152794647216797
"EY1",0.977434331720526,0.784266601909291,0.603651644154028,2.5673134543679,1.3868144642223,0.188218290155584
"F",0.60338628859747,1.45858110700335,0.94723501659575,5.65737497238886,2.71782193865095,0.0688241322835286
"G",1.09194483901515,0.804540460759943,0.964463436242306,6.54283558238636,3.90682890920928,0.0442569617069129
"HH",1.05851388484874,1.50992385377275,1.00713916535073,5.29924498213098,2.17883463108793,0.142667080493684
"IH0",0.732283528645833,0.0400166829427083,0.787776692708333,6.22572835286458,1.62467651367188,0.334395345052083
"IH1",0.777115530716745,0.690238253693832,1.38383499948602,7.48947561163651,3.19592220908717,0.0819686086554276
"IY0",0.52261673776727,1.41495945579127,0.97588827108082,7.5580082943565,3.29222849795693,0.145308243600946
"IY1",0.819462076822917,1.01560262044271,0.577118145978009,3.17989174878156,1.62006341439706,0.0503206394336842
"JH",0.218610491071429,1.85952758789062,0.266460418701172,3.76953996930804,1.41741207667759,0.0205732073102679
"K",0.00918377147001379,1.57128188189338,1.07946418313419,3.9005853989545,1.70944168988396,0.0556743811158573
"L",0.509625265043076,1.33455961044521,0.997351450462864,3.68286891832744,2.02357019463631,0.158708781412203
"M",0.00500839634945518,1.0016013697574,1.51394813939145,2.84334845291941,1.2985281693308,0.112707740382144
"N",0.520876797762784,1.17995584251905,0.92435434129503,5.26742779124867,2.1585640955453,0.165897677643131
"NG",0.716269100413603,0.245602776022518,1.15162209903493,7.83768418255974,3.27748018152574,-0.00858800551470588
"OW0",1.23488071986607,0.426413399832589,0.210396902901786,-0.122377668108259,-0.0892317635672433,0.204898289271763
"OW1",0.65888432094029,1.97648402622768,1.00215076264881,3.03910391671317,1.47186569940476,0.0512281145368304
"OY1",0.319854736328125,0.607269287109375,-0.177236557006836,0.356456756591797,1.0269775390625,-0.274635314941406
"P",0.402720728228169,1.08091325657342,0.598573746219758,2.74425285093246,1.56135241190592,0.045425594493907
"R",0.732186084098004,1.15719726237845,0.624917847044924,2.62346523366076,1.78513903059858,0.105478733143908
"S",0.380159075015059,1.07813481972596,0.791174523184233,4.21322760180892,1.81747411567474,0.172404565543772
"sil",0.0314247290975546,0.252042941013631,0.303273530221292,0.79818714739427,0.549627367774816,0.0744862679248204
"sp",0.510766757915972,0.923107461356298,0.809932053686041,4.02773668206642,2.04980342412029,0.119039051863598
"T",0.411873971848261,1.19686846051897,0.806998062133789,4.22192658923921,2.25330305553618,0.031962031409854
"TH",1.78568522135417,1.38958740234375,1.23575568921638,4.35048328746449,2.22209416013775,0.0217588020093513
"UW1",0.301822662353516,1.58905410766602,1.03137588500977,2.6850471496582,1.93114471435547,0.383976459503174
"V",0.778760168287489,1.00167995029026,0.850276311238607,4.89018079969618,3.03357452816433,0.145311143663194
"W",1.00113254123264,1.00489904010107,1.19104506477477,5.18574766128782,2.51213182721819,0.090820070296999
"Y",-0.223496657151442,0.756385216346154,2.41585599459135,7.29795323885404,3.20956655649038,0.487956120417668
"Z",0.79934384697362,0.972364365427118,0.550298680757221,2.94206824051706,1.57885199095074,0.128296781841077
