,start time,end time,phone,word
0,0,3100000,sil,sil
1,3100000,3500000,DH,THE
2,3500000,3900000,AH0,THE
3,3900000,3900000,sp,THE
4,3900000,4200000,B,BIRDS
5,4200000,5000000,ER1,BIRDS
6,5000000,7300000,D,BIRDS
7,7300000,7600000,Z,BIRDS
8,7600000,7600000,sp,BIRDS
9,7600000,8400000,DH,THE
10,8400000,11600000,AH0,THE
11,11600000,11600000,sp,THE
12,11600000,11900000,B,BEASTS
13,11900000,14200000,IY1,BEASTS
14,14200000,14500000,S,BEASTS
15,14500000,15200000,T,BEASTS
16,15200000,15800000,S,BEASTS
17,15800000,15800000,sp,BEASTS
18,15800000,22400000,AH0,AND
19,22400000,22800000,N,AND
20,22800000,22800000,sp,AND
21,22800000,23100000,DH,THE
22,23100000,23500000,AH0,THE
23,23500000,23500000,sp,THE
24,23500000,24300000,B,BAT
25,24300000,26500000,AE1,BAT
26,26500000,34200000,T,BAT
27,34200000,34200000,sp,BAT
28,34200000,34500000,DH,THE
29,34500000,35000000,AH0,THE
30,35000000,35000000,sp,THE
31,35000000,36000000,B,BIRDS
32,36000000,37800000,ER1,BIRDS
33,37800000,39600000,D,BIRDS
34,39600000,39900000,Z,BIRDS
35,39900000,39900000,sp,BIRDS
36,39900000,40900000,W,WAGED
37,40900000,41700000,EY1,WAGED
38,41700000,42300000,JH,WAGED
39,42300000,44100000,D,WAGED
40,44100000,44100000,sp,WAGED
41,44100000,44400000,W,WAR
42,44400000,45500000,AO1,WAR
43,45500000,45800000,R,WAR
44,45800000,45800000,sp,WAR
45,45800000,46300000,W,WITH
46,46300000,46600000,IH0,WITH
47,46600000,46900000,DH,WITH
48,46900000,46900000,sp,WITH
49,46900000,47200000,DH,THE
50,47200000,47700000,AH0,THE
51,47700000,47700000,sp,THE
52,47700000,48200000,B,BEASTS
53,48200000,51300000,IY1,BEASTS
54,51300000,51600000,S,BEASTS
55,51600000,53000000,T,BEASTS
56,53000000,57600000,S,BEASTS
57,57600000,57600000,sp,BEASTS
58,57600000,59300000,AH0,AND
59,59300000,59800000,N,AND
60,59800000,60100000,D,AND
61,60100000,60100000,sp,AND
62,60100000,62800000,IY1,EACH
63,62800000,63100000,CH,EACH
64,63100000,63100000,sp,EACH
65,63100000,63400000,B,BY
66,63400000,64700000,AY1,BY
67,64700000,64700000,sp,BY
68,64700000,65500000,T,TURN
69,65500000,67600000,ER1,TURN
70,67600000,68000000,N,TURN
71,68000000,68000000,sp,TURN
72,68000000,69800000,W,WERE
73,69800000,70800000,ER0,WERE
74,70800000,70800000,sp,WERE
75,70800000,71100000,DH,THE
76,71100000,73000000,AH0,THE
77,73000000,73000000,sp,THE
78,73000000,73300000,K,CONQUERORS
79,73300000,76100000,AA1,CONQUERORS
