,start time,end time,phone,word
0,0,2700000,sil,sil
1,2700000,3000000,DH,THE
2,3000000,4500000,AH0,THE
3,4500000,4500000,sp,THE
4,4500000,5100000,K,CAT
5,5100000,7600000,AE1,CAT
6,7600000,8400000,T,CAT
7,8400000,8400000,sp,CAT
8,8400000,12500000,AH0,AND
9,12500000,12800000,N,AND
10,12800000,13200000,D,AND
11,13200000,13200000,sp,AND
12,13200000,14200000,V,VENUS
13,14200000,17200000,IY1,VENUS
14,17200000,17500000,N,VENUS
15,17500000,17800000,AH0,VENUS
16,17800000,20000000,S,VENUS
17,20000000,20000000,sp,VENUS
18,20000000,21100000,AH0,A
19,21100000,21100000,sp,A
20,21100000,21900000,K,CAT
21,21900000,23800000,AE1,CAT
22,23800000,24100000,T,CAT
23,24100000,24100000,sp,CAT
24,24100000,24400000,F,FELL
25,24400000,25300000,EH1,FELL
26,25300000,25600000,L,FELL
27,25600000,25600000,sp,FELL
28,25600000,27400000,IH1,IN
29,27400000,27800000,N,IN
30,27800000,27800000,sp,IN
31,27800000,28100000,L,LOVE
32,28100000,28700000,AH1,LOVE
33,28700000,29000000,V,LOVE
34,29000000,29000000,sp,LOVE
35,29000000,29300000,W,WITH
36,29300000,29700000,IH1,WITH
37,29700000,30000000,DH,WITH
38,30000000,30000000,sp,WITH
39,30000000,30700000,AH0,A
40,30700000,30700000,sp,A
41,30700000,31600000,HH,HANDSOME
42,31600000,32000000,AE1,HANDSOME
43,32000000,32600000,N,HANDSOME
44,32600000,33500000,S,HANDSOME
45,33500000,34200000,AH0,HANDSOME
46,34200000,34700000,M,HANDSOME
47,34700000,34700000,sp,HANDSOME
48,34700000,35000000,Y,YOUNG
49,35000000,36100000,AH1,YOUNG
50,36100000,36400000,NG,YOUNG
51,36400000,36400000,sp,YOUNG
52,36400000,37700000,M,MAN
53,37700000,39700000,AE1,MAN
54,39700000,40000000,N,MAN
55,40000000,40000000,sp,MAN
56,40000000,40300000,AH0,AND
57,40300000,40700000,N,AND
58,40700000,40700000,sp,AND
59,40700000,41000000,V,VENUS
60,41000000,41300000,IY1,VENUS
61,41300000,41600000,N,VENUS
62,41600000,41900000,AH0,VENUS
63,41900000,43700000,S,VENUS
64,43700000,43700000,sp,VENUS
65,43700000,44000000,T,TO
66,44000000,44500000,AH0,TO
67,44500000,44500000,sp,TO
68,44500000,44800000,CH,CHANGE
69,44800000,45100000,EY1,CHANGE
70,45100000,45800000,N,CHANGE
71,45800000,46200000,JH,CHANGE
72,46200000,46200000,sp,CHANGE
73,46200000,47100000,HH,HER
74,47100000,52200000,ER0,HER
75,52200000,52200000,sp,HER
76,52200000,53900000,IH0,INTO
77,53900000,54200000,N,INTO
78,54200000,55700000,T,INTO
79,55700000,57100000,UW1,INTO
80,57100000,57100000,sp,INTO
81,57100000,57400000,DH,THE
82,57400000,58200000,AH0,THE
83,58200000,58200000,sp,THE
84,58200000,58500000,F,FORM
85,58500000,59800000,AO1,FORM
86,59800000,61100000,R,FORM
87,61100000,61600000,M,FORM
88,61600000,61600000,sp,FORM
89,61600000,63200000,AH0,OF
90,63200000,63500000,V,OF
91,63500000,63500000,sp,OF
92,63500000,66100000,AH0,A
93,66100000,66100000,sp,A
94,66100000,66400000,W,WOMAN
95,66400000,66800000,UH1,WOMAN
96,66800000,68100000,M,WOMAN
97,68100000,69900000,AH0,WOMAN
98,69900000,75900000,N,WOMAN
99,75900000,75900000,sp,WOMAN
100,75900000,76300000,V,VENUS
101,76300000,76600000,IY1,VENUS
102,76600000,77000000,N,VENUS
103,77000000,77400000,AH0,VENUS
104,77400000,78300000,S,VENUS
105,78300000,78300000,sp,VENUS
106,78300000,78900000,K,CONSENTED
107,78900000,82600000,AH0,CONSENTED
108,82600000,83000000,N,CONSENTED
109,83000000,83600000,S,CONSENTED
110,83600000,84200000,EH1,CONSENTED
111,84200000,84700000,N,CONSENTED
112,84700000,85700000,IH0,CONSENTED
113,85700000,86500000,D,CONSENTED
114,86500000,86500000,sp,CONSENTED
115,86500000,86800000,T,TO
116,86800000,89600000,UW1,TO
117,89600000,89600000,sp,TO
118,89600000,90700000,HH,HER
119,90700000,91200000,ER0,HER
120,91200000,91200000,sp,HER
121,91200000,91600000,R,REQUEST
122,91600000,91900000,IY0,REQUEST
123,91900000,93600000,K,REQUEST
124,93600000,93900000,W,REQUEST
125,93900000,95100000,EH1,REQUEST
126,95100000,95400000,S,REQUEST
127,95400000,95700000,T,REQUEST
128,95700000,95700000,sp,REQUEST
129,95700000,96200000,AH0,AND
130,96200000,96600000,N,AND
131,96600000,97400000,D,AND
132,97400000,97400000,sp,AND
133,97400000,97900000,T,TRANSFORMED
134,97900000,99100000,R,TRANSFORMED
135,99100000,101900000,AE0,TRANSFORMED
136,101900000,102700000,N,TRANSFORMED
137,102700000,103100000,S,TRANSFORMED
138,103100000,103400000,F,TRANSFORMED
139,103400000,105000000,AO1,TRANSFORMED
140,105000000,106100000,R,TRANSFORMED
141,106100000,106500000,M,TRANSFORMED
142,106500000,107100000,D,TRANSFORMED
143,107100000,107100000,sp,TRANSFORMED
144,107100000,107600000,HH,HER
145,107600000,112000000,ER1,HER
146,112000000,112000000,sp,HER
147,112000000,115200000,IH0,INTO
148,115200000,115600000,N,INTO
149,115600000,116400000,T,INTO
150,116400000,121700000,UW1,INTO
151,121700000,121700000,sp,INTO
152,121700000,123100000,AH0,A
153,123100000,123100000,sp,A
154,123100000,123400000,B,BEAUTIFUL
155,123400000,125200000,Y,BEAUTIFUL
156,125200000,126400000,UW1,BEAUTIFUL
157,126400000,126800000,T,BEAUTIFUL
158,126800000,131400000,AH0,BEAUTIFUL
159,131400000,131700000,F,BEAUTIFUL
160,131700000,134300000,AH0,BEAUTIFUL
161,134300000,136000000,L,BEAUTIFUL
162,136000000,136000000,sp,BEAUTIFUL
163,136000000,136300000,D,DAMSEL
164,136300000,136600000,AE1,DAMSEL
165,136600000,137200000,M,DAMSEL
166,137200000,137500000,Z,DAMSEL
167,137500000,138800000,AH0,DAMSEL
168,138800000,139500000,L,DAMSEL
169,139500000,139500000,sp,DAMSEL
170,139500000,139800000,S,SO
171,139800000,146700000,OW1,SO
172,146700000,146700000,sp,SO
173,146700000,147000000,DH,THAT
174,147000000,147600000,AH0,THAT
175,147600000,147900000,T,THAT
176,147900000,147900000,sp,THAT
177,147900000,148200000,DH,THE
178,148200000,148900000,AH0,THE
179,148900000,148900000,sp,THE
180,148900000,149200000,Y,YOUTH
181,149200000,149500000,UW1,YOUTH
182,149500000,149800000,TH,YOUTH
183,149800000,149800000,sp,YOUTH
184,149800000,150100000,S,SAW
185,150100000,152100000,AO1,SAW
186,152100000,152100000,sp,SAW
187,152100000,152500000,HH,HER
188,152500000,154400000,ER0,HER
189,154400000,154400000,sp,HER
190,154400000,155400000,AE1,AND
191,155400000,155700000,N,AND
192,155700000,155700000,sp,AND
193,155700000,156300000,L,LOVED
194,156300000,156800000,AH1,LOVED
195,156800000,157100000,V,LOVED
196,157100000,157400000,D,LOVED
197,157400000,157400000,sp,LOVED
198,157400000,158500000,HH,HER
199,158500000,161600000,ER1,HER
200,161600000,161600000,sp,HER
201,161600000,162000000,AH0,AND
202,162000000,167900000,N,AND
203,167900000,167900000,sp,AND
204,167900000,168300000,T,TOOK
205,168300000,171200000,UH1,TOOK
206,171200000,171900000,K,TOOK
207,171900000,171900000,sp,TOOK
208,171900000,172200000,HH,HER
209,172200000,172500000,ER0,HER
210,172500000,172500000,sp,HER
211,172500000,173000000,HH,HOME
212,173000000,176100000,OW1,HOME
213,176100000,176400000,M,HOME
214,176400000,176400000,sp,HOME
215,176400000,176700000,EH1,AS
216,176700000,177000000,Z,AS
217,177000000,177000000,sp,AS
218,177000000,177300000,HH,HIS
219,177300000,177800000,IH1,HIS
220,177800000,178100000,Z,HIS
221,178100000,178100000,sp,HIS
222,178100000,178400000,B,BRIDE
223,178400000,178800000,R,BRIDE
224,178800000,179400000,AY1,BRIDE
225,179400000,179700000,D,BRIDE
226,179700000,179700000,sp,BRIDE
227,179700000,180100000,W,WHILE
228,180100000,180400000,AY1,WHILE
229,180400000,180700000,L,WHILE
230,180700000,180700000,sp,WHILE
231,180700000,181000000,DH,THE
232,181000000,181900000,AH0,THE
233,181900000,181900000,sp,THE
234,181900000,182400000,T,TWO
235,182400000,183500000,UW1,TWO
236,183500000,183500000,sp,TWO
237,183500000,183900000,W,WERE
238,183900000,186300000,ER0,WERE
239,186300000,186300000,sp,WERE
240,186300000,186600000,R,RECLINING
241,186600000,186900000,IY0,RECLINING
242,186900000,187200000,K,RECLINING
243,187200000,189700000,L,RECLINING
244,189700000,190000000,AY1,RECLINING
245,190000000,190300000,N,RECLINING
246,190300000,190600000,IH0,RECLINING
247,190600000,191900000,NG,RECLINING
248,191900000,191900000,sp,RECLINING
249,191900000,192200000,IH0,IN
250,192200000,193800000,N,IN
251,193800000,193800000,sp,IN
252,193800000,194400000,DH,THEIR
253,194400000,194700000,EH1,THEIR
254,194700000,195100000,R,THEIR
255,195100000,195100000,sp,THEIR
