,start time,end time,phone,word
0,0,1100000,sil,sil
1,1100000,1400000,DH,THE
2,1400000,3600000,AH0,THE
3,3600000,3600000,sp,THE
4,3600000,4800000,HH,HARE
5,4800000,10100000,EH1,HARE
6,10100000,10600000,R,HARE
7,10600000,10600000,sp,HARE
8,10600000,11100000,AH0,AND
9,11100000,11500000,N,AND
10,11500000,11500000,sp,AND
11,11500000,11800000,DH,THE
12,11800000,12700000,AH0,THE
13,12700000,12700000,sp,THE
14,12700000,14200000,T,TORTOISE
15,14200000,15400000,AO1,TORTOISE
16,15400000,16700000,R,TORTOISE
17,16700000,17100000,T,TORTOISE
18,17100000,17400000,AH0,TORTOISE
19,17400000,17700000,S,TORTOISE
20,17700000,17700000,sp,TORTOISE
21,17700000,24800000,EY1,A
22,24800000,24800000,sp,A
23,24800000,27200000,HH,HARE
24,27200000,31800000,EH1,HARE
25,31800000,32100000,R,HARE
26,32100000,32100000,sp,HARE
27,32100000,32800000,W,ONE
28,32800000,33700000,AH1,ONE
29,33700000,34000000,N,ONE
30,34000000,34000000,sp,ONE
31,34000000,34600000,D,DAY
32,34600000,35800000,EY1,DAY
33,35800000,35800000,sp,DAY
34,35800000,38900000,R,RIDICULED
35,38900000,41300000,IH1,RIDICULED
36,41300000,41700000,D,RIDICULED
37,41700000,49400000,AH0,RIDICULED
38,49400000,49800000,K,RIDICULED
39,49800000,53400000,Y,RIDICULED
40,53400000,54300000,UW2,RIDICULED
41,54300000,60300000,L,RIDICULED
42,60300000,60600000,D,RIDICULED
43,60600000,60600000,sp,RIDICULED
44,60600000,60900000,DH,THE
45,60900000,61500000,AH0,THE
46,61500000,61500000,sp,THE
47,61500000,61800000,SH,SHORT
48,61800000,62900000,AO1,SHORT
49,62900000,63900000,R,SHORT
50,63900000,64200000,T,SHORT
51,64200000,64200000,sp,SHORT
52,64200000,64500000,F,FEET
53,64500000,66200000,IY1,FEET
54,66200000,66900000,T,FEET
55,66900000,66900000,sp,FEET
56,66900000,67400000,AH0,AND
57,67400000,67700000,N,AND
58,67700000,67700000,sp,AND
59,67700000,68000000,S,SLOW
60,68000000,68700000,L,SLOW
61,68700000,71900000,OW1,SLOW
62,71900000,71900000,sp,SLOW
63,71900000,72200000,P,PACE
64,72200000,72800000,EY1,PACE
65,72800000,73100000,S,PACE
66,73100000,73100000,sp,PACE
67,73100000,76900000,AH1,OF
68,76900000,78400000,V,OF
69,78400000,78400000,sp,OF
70,78400000,79400000,DH,THE
71,79400000,79900000,IY0,THE
72,79900000,79900000,sp,THE
73,79900000,80400000,T,TORTOISE
74,80400000,81300000,AO1,TORTOISE
75,81300000,83600000,R,TORTOISE
76,83600000,83900000,T,TORTOISE
77,83900000,84800000,AH0,TORTOISE
78,84800000,85300000,S,TORTOISE
79,85300000,85300000,sp,TORTOISE
80,85300000,87500000,HH,WHO
81,87500000,88100000,UW1,WHO
82,88100000,88100000,sp,WHO
83,88100000,88400000,R,REPLIED
84,88400000,89100000,IH0,REPLIED
85,89100000,89700000,P,REPLIED
86,89700000,91800000,L,REPLIED
87,91800000,92600000,AY1,REPLIED
88,92600000,92900000,D,REPLIED
89,92900000,92900000,sp,REPLIED
90,92900000,93700000,L,LAUGHING
91,93700000,95200000,AE1,LAUGHING
92,95200000,95500000,F,LAUGHING
93,95500000,96400000,IH0,LAUGHING
94,96400000,96900000,NG,LAUGHING
95,96900000,96900000,sp,LAUGHING
96,96900000,97200000,DH,THOUGH
97,97200000,98900000,OW1,THOUGH
98,98900000,98900000,sp,THOUGH
99,98900000,99200000,Y,YOU
